idspecies,id_sp_region,population_status,sourceid
9846,797,Established,""
10019,798,Established,""
10036,799,Established,""
11807,800,Established,""
7312,801,Established,""
10870,802,Established,""
10946,803,Established,""
10959,804,Established,""
11017,805,Established,""
4240,806,Established,""
4279,807,Established,""
5747,808,Established,""
4336,809,Established,""
4343,810,Established,""
4367,811,Established,""
4369,812,Established,""
9455,813,Established,""
4395,814,Established,""
23377,815,Established,""
21252,816,Established,""
4421,817,Established,""
19129,818,Established,""
20547,819,Established,""
8642,820,Established,""
8659,821,Established,""
846,822,Established,""
988,823,Established,""
21415,824,Established,""
8232,825,Established,""
8306,826,Established,""
10481,827,Established,""
7978,828,Established,""
7986,829,Established,""
19516,830,Established,""
23501,831,Established,""
13937,832,Established,""
8137,833,Established,""
10386,834,Established,""
11942,835,Established,""
14100,836,Established,""
9520,837,Established,""
8512,838,Established,""
8524,839,Established,""
10752,840,Established,""
20578,841,Established,""
5334,842,Established,""
8952,843,Established,""
23608,844,Established,""
23634,845,Established,""
23676,846,Established,""
4639,847,Established,""
4647,848,Established,""
4659,849,Established,""
4676,850,Established,""
7759,851,Established,""
20738,852,Established,""
20709,853,Established,""
14541,854,Established,""
23815,855,Established,""
4805,856,Established,""
4837,857,Established,""
4865,858,Established,""
4891,859,Established,""
17503,860,Established,""
7928,861,Established,""
23915,862,Established,""
7904,863,Established,""
5443,864,Established,""
12103,865,Established,""
12162,866,Established,""
1010,867,Established,""
4970,868,Established,""
1517,869,Established,""
16574,870,Established,""
1248,871,Established,""
1271,872,Established,""
19269,873,Established,""
19154,874,Established,""
12327,875,Established,""
12532,876,Established,""
1931,877,Established,""
667,878,Established,""
17089,879,Established,""
16970,880,Established,""
6742,881,Established,""
6819,882,Established,""
6893,883,Established,""
7046,884,Established,""
21692,885,Established,""
11034,886,Established,""
22131,887,Established,""
495,888,Established,""
22453,889,Established,""
10154,890,Established,""
5428,891,Established,""
21914,892,Established,""
20174,893,Established,""
14766,894,Established,""
1091,895,Established,""
22510,896,Established,""
22539,897,Established,""
22867,898,Established,""
17367,899,Established,""
23170,900,Established,""
5121,901,Established,""
16040,902,Established,""
19525,903,Established,""
20401,904,Established,""
23273,905,Established,""
4343,906,Established,""
8642,907,Established,""
8137,908,Established,""
11942,909,Established,""
1886,910,Established,""
23762,911,Established,""
4805,912,Established,""
20045,913,Established,""
24085,914,Established,""
24075,915,Established,""
24077,916,Established,""
608,917,Established,""
16660,918,Established,""
6736,919,Established,""
6752,920,Established,""
6804,921,Established,""
6840,922,Established,""
6867,923,Established,""
19736,925,Established,""
20921,926,Established,""
17716,927,Established,""
17514,928,Established,""
6328,929,Established,""
22412,930,Established,""
22424,931,Established,""
18196,932,Established,""
3326,933,Established,""
143,934,Established,""
10173,935,Established,""
6412,936,Established,""
5879,937,Established,""
19979,938,Established,""
11475,939,Established,""
20364,940,Established,""
3452,941,Established,""
24320,942,Established,""
13452,943,Established,""
14633,944,Established,""
3609,945,Established,""
1052,946,Established,""
3630,947,Established,""
10305,948,Established,""
10322,949,Established,""
19475,950,Established,""
22875,951,Established,""
22875,952,Established,""
9418,953,Established,""
12634,954,Established,""
23039,955,Established,""
23070,956,Established,""
4028,957,Established,""
17376,958,Established,""
20302,959,Established,""
16094,960,Established,""
11689,961,Established,""
12911,962,Established,""
12920,963,Established,""
6178,964,Established,""
549,965,Established,""
10878,966,Established,""
10927,967,Established,""
10974,968,Established,""
4240,969,Established,""
4259,970,Established,""
9176,971,Established,""
20511,972,Established,""
19690,973,Established,""
8170,974,Established,""
9110,975,Established,""
632,976,Established,""
14789,977,Established,""
16417,978,Established,""
20755,979,Established,""
23793,980,Established,""
11997,981,Established,""
14797,982,Established,""
23954,983,Established,""
12103,984,Established,""
14606,985,Established,""
19944,986,Established,""
20030,987,Established,""
12374,988,Established,""
24054,989,Established,""
24067,990,Established,""
495,1016,Established,""
2235,1017,Established,""
5443,1018,Established,""
5210,1019,Established,""
1052,1020,Established,""
1508,1021,Established,""
1517,1022,Established,""
5380,1023,Established,""
