id_sp_region,idspecies,vector2,sourceid,notes,last_updated
"100623","50342","Escaped",,"E,R","2005-11-23 00:00:00"
"100623","50342","Released",,"E,R","2005-11-23 00:00:00"
"100624","50343","Escaped",,"E,R","2005-11-26 00:00:00"
"100624","50343","Released",,"E,R","2005-11-26 00:00:00"
"100625","50344","Unknown",,"U","2006-02-25 00:00:00"
"100626","50344","Escaped",,"E","2006-10-03 00:00:00"
"100627","50345","Released",,"R","2005-10-31 00:00:00"
"100629","50346","Escaped",,"E","2006-01-18 00:00:00"
"100630","50346","Escaped",,"E","2005-10-31 00:00:00"
"100631","50346","Escaped",,"E ","2006-09-19 00:00:00"
"100632","50346","Escaped",,"E,R","2006-09-19 00:00:00"
"100632","50346","Released",,"E,R","2006-09-19 00:00:00"
"100633","50346","Dispersed",,"D","2006-04-06 00:00:00"
"100634","50346","Unknown",,"U","2006-04-23 00:00:00"
"100635","50346","Escaped",,"E","2006-10-03 00:00:00"
"100636","50346","Escaped",,"E","2006-10-03 00:00:00"
"100638","50346","Unknown",,"U","2006-10-03 00:00:00"
"100639","50346","Escaped",,"E,R","2006-10-03 00:00:00"
"100639","50346","Released",,"E,R","2006-10-03 00:00:00"
"100640","50347","Escaped",,"E","2005-10-27 00:00:00"
"100641","50347","Escaped",,"E","2005-10-27 00:00:00"
"100642","50347","Escaped",,"E","2005-10-27 00:00:00"
"100643","50347","Escaped",,"E","2006-10-03 00:00:00"
"100644","50348","Released",,"R","2005-10-27 00:00:00"
"100645","50349","Unknown",,"U","2005-10-27 00:00:00"
"100646","50349","Escaped",,"E","2006-04-20 00:00:00"
"100647","50350","Unknown",,"U","2006-02-20 00:00:00"
"100648","50350","Unknown",,"U","2006-11-27 00:00:00"
"100649","50351","Unknown",,"U","2005-10-27 00:00:00"
"100650","50352","Released",,"R","2005-12-15 00:00:00"
"100651","50353","Escaped",,"E","2005-11-09 00:00:00"
"100653","50354","Escaped",,"E","2006-05-03 00:00:00"
"100654","50355","Released",,"R","2006-05-03 00:00:00"
"100655","50355","Released",,"R","2006-04-06 00:00:00"
"100656","50355","Released",,"R","2006-04-06 00:00:00"
"100657","50355","Released",,"R","2005-10-27 00:00:00"
"100658","50355","Released",,"R","2006-10-03 00:00:00"
"100659","50356","Released",,"R","2005-11-09 00:00:00"
"100660","50357","Unknown",,"U ","2005-11-01 00:00:00"
"100661","50357","Released",,"R ","2005-11-22 00:00:00"
"100662","50357","Escaped",,"E","2005-12-27 00:00:00"
"100663","50357","Released",,"R","2005-10-31 00:00:00"
"100664","50357","Escaped",,"E","2005-10-31 00:00:00"
